class,feature,weight
low_match,0018,0.019176506933788213
low_match,0018 shipboard,0.019176506933788213
low_match,0029,0.019176506933788213
low_match,0029 marine,0.019176506933788213
low_match,0077,0.019176506933788213
low_match,0077 class,0.019176506933788213
low_match,0118,0.019176506933788213
low_match,0118 engineering,0.019176506933788213
low_match,0119,0.019176506933788213
low_match,0119 engineering,0.019176506933788213
low_match,012,0.019176506933788213
low_match,012 0077,0.019176506933788213
low_match,0120,0.019176506933788213
low_match,0120 engineering,0.019176506933788213
low_match,0188,0.019176506933788213
low_match,0188 waste,0.019176506933788213
low_match,0240,0.019176506933788213
low_match,0240 shipbd,0.019176506933788213
low_match,0298,0.019176506933788213
low_match,0298 gas,0.019176506933788213
low_match,0613,0.019176506933788213
low_match,0613 machinery,0.019176506933788213
low_match,10,0.2130188768326742
low_match,10 years,-0.09959152986777718
low_match,115,0.06143154577213004
low_match,115 compact,0.06143154577213004
low_match,133,0.025698584753677502
low_match,133 ms,0.025698584753677502
low_match,14001,0.010108543841766104
low_match,14001 ems,-0.05339582393157387
low_match,15,0.28989045485298753
low_match,15 years,0.28989045485298753
low_match,20,0.09724819348013307
low_match,20 years,-0.09764892133880497
low_match,200,-0.04138134445372526
low_match,200 students,-0.04138134445372526
low_match,2000,-0.14273097570393944
low_match,2000 developer,-0.05055424746129055
low_match,2000 migration,0.0017134178840584506
low_match,2000 oracle,-0.06787254136547721
low_match,2000 windows,-0.07247813801944929
low_match,2000 word,0.03060416738193328
low_match,2005,0.08031603489298828
low_match,2005 electrical,-0.006261633080190647
low_match,2008,-0.14608716451027512
low_match,2008 2010,-0.0733304559001261
low_match,2008 iso,-0.05339582393157387
low_match,2010,0.08843109245328515
low_match,2016,0.1522557305576327
low_match,2k,-0.06787254136547721
low_match,2k windows,-0.06787254136547721
low_match,365,-0.12767105929048697
low_match,3d,-0.07445524741390913
low_match,3d accounting,-0.06787254136547721
low_match,3d modeling,-0.09237021741760706
low_match,3dsmax,-0.09237021741760706
low_match,3dsmax mechanical,-0.09237021741760706
low_match,400,0.022498416535381337
low_match,495,0.019176506933788213
low_match,495 0018,0.019176506933788213
low_match,500,0.08772562894731507
low_match,500 0029,0.019176506933788213
low_match,5s,-0.08092701707497416
low_match,5s expert,-0.05069602586500785
low_match,5s kanban,-0.05339582393157387
low_match,5s value,-0.03215916859582549
low_match,651,0.07670602773515285
low_match,651 0118,0.019176506933788213
low_match,651 0119,0.019176506933788213
low_match,651 0120,0.019176506933788213
low_match,651 0613,0.019176506933788213
low_match,652,0.05752952080136483
low_match,652 0188,0.019176506933788213
low_match,652 0240,0.019176506933788213
low_match,652 0298,0.019176506933788213
low_match,8d,0.02890493362974009
low_match,8d kpi,0.02890493362974009
low_match,8i,-0.06787254136547721
low_match,8i oracle,-0.06787254136547721
low_match,9000,-0.21150583819195212
low_match,9000 schematics,-0.15862937864396465
low_match,9001,-0.04626181764589994
low_match,9001 2008,-0.05339582393157387
low_match,9001 as9100,-0.0046903733936678365
low_match,9001 java,-0.05339582393157387
low_match,95,-0.0011074460500679077
low_match,aas,0.14440616224036232
low_match,abcellera,-0.025914491523471136
low_match,abilities,-0.013377834986162096
low_match,abilities bachelor,-0.04159121704244182
low_match,abilities position,-0.0013932448312170883
low_match,ability,0.17551712746386977
